player,elo_hard,elo_clay,elo_grass,form,matches_total
Marin Cilic,1544.7,1544.1,1579.3,0.4,457
Marcos Baghdatis,1544.5,1433.6,1516.0,0.45,164
Alex Knaff,1544.3,1498.6,1500.0,0.545,11
Alejandro Tabilo,1543.7,1559.0,1557.6,0.3,113
Miomir Kecmanovic,1542.6,1570.0,1503.5,0.45,293
Zizou Bergs,1542.5,1488.8,1483.2,0.55,60
Sebastian Ofner,1541.4,1483.4,1495.8,0.4,93
Alexander Shevchenko,1540.8,1499.8,1474.4,0.4,86
Juncheng Shang,1539.4,1461.9,1520.1,0.5,62
Gilles Simon,1538.7,1466.4,1488.6,0.45,339
Gabriel Diallo,1538.4,1487.3,1476.9,0.5,26
Henrique Rocha,1537.4,1484.7,1500.0,0.5,6
Adrian Mannarino,1537.0,1330.4,1539.1,0.35,520
Alex Molcan,1536.8,1596.3,1489.5,0.5,95
Tucker Vorster,1536.7,1500.0,1500.0,0.714,7
Nicolas Jarry,1536.0,1610.6,1504.3,0.35,227
Borna Coric,1535.2,1535.8,1486.4,0.35,404
Lorenzo Sonego,1534.9,1534.2,1526.2,0.5,298
Aleksandar Vukic,1533.6,1451.7,1554.9,0.55,94
Aleksandre Bakshi,1532.4,1500.0,1500.0,0.75,4
Jan Lennard Struff,1531.0,1690.2,1564.6,0.55,422
Olaf Pieczkowski,1531.0,1500.0,1500.0,1.0,2
Cezar Cretu,1530.7,1500.0,1500.0,1.0,2
Nuno Borges,1529.6,1577.3,1429.6,0.55,89
Reilly Opelka,1529.4,1517.8,1510.5,0.45,188
Chieh Fu Wang,1529.2,1500.0,1500.0,1.0,2
Moez Echargui,1529.2,1479.9,1500.0,0.6,5
Christian Garay,1528.7,1500.0,1500.0,1.0,2
Martin Damm,1528.4,1500.0,1500.0,0.667,3
Thomas Yaka Kofi Setodji,1528.4,1500.0,1500.0,0.75,4
Nicolai Budkov Kjaer,1528.2,1480.6,1500.0,0.5,4
Frederik Nielsen,1527.4,1500.0,1500.0,0.632,19
Beibit Zhukayev,1527.4,1500.0,1500.0,0.444,9
Liang Chi Huang,1527.3,1517.1,1500.0,1.0,3
Jonas Forejtek,1527.3,1500.0,1500.0,0.75,4
Juan Manuel Cerundolo,1526.4,1453.1,1488.7,0.35,41
Filip Cristian Jianu,1526.3,1500.0,1500.0,0.75,4
John Bryan Decasa Otico,1525.9,1479.8,1500.0,0.5,4
Dragos Dima,1525.8,1500.0,1500.0,1.0,2
Yosuke Watanuki,1524.5,1493.6,1508.9,0.4,39
Christopher Rungkat,1524.0,1500.0,1500.0,1.0,5
Alibek Kachmazov,1523.9,1500.0,1500.0,0.444,9
Tung Lin Wu,1523.9,1500.0,1500.0,0.5,14
Elmer Moller,1523.5,1512.0,1500.0,0.667,6
Pierre Hugues Herbert,1523.4,1485.5,1487.8,0.35,209
Francisco Comesana,1522.8,1457.1,1523.5,0.364,11
Zsombor Piros,1522.4,1532.4,1500.0,0.588,17
John Millman,1522.3,1471.5,1475.1,0.35,261
Mattia Bellucci,1522.1,1485.9,1483.4,0.4,15
Fitriadi M Rifqi,1521.3,1500.0,1500.0,0.5,6
Vasek Pospisil,1521.1,1484.7,1489.8,0.4,201
Patrick Kypson,1521.1,1470.2,1500.0,0.333,9
Daniel Vallejo,1520.9,1499.7,1500.0,0.75,4
Daniel Garza,1520.8,1500.0,1500.0,0.667,3
Ergi Kirkin,1519.9,1500.0,1495.6,0.5,4
Jo-Wilfried Tsonga,1519.8,1470.7,1505.7,0.15,240
Alexis Galarneau,1519.7,1491.4,1500.0,0.4,5
John Isner,1519.5,1552.0,1566.3,0.4,413
Jurgen Melzer,1519.3,1509.0,1500.0,0.5,33
Kamil Majchrzak,1518.8,1486.4,1491.1,0.5,71
Kittipong Wachiramanowong,1518.5,1500.0,1469.5,0.5,6
Thiago Seyboth Wild,1518.5,1515.7,1506.4,0.45,79
Ricardo Ojeda Lara,1518.3,1494.5,1500.0,0.5,6
Jerzy Janowicz,1517.9,1486.9,1512.3,0.4,64
Dominic Thiem,1517.4,1508.0,1466.4,0.3,507
Markus Eriksson,1517.1,1504.2,1500.0,0.6,5
Gonzalo Escobar,1516.7,1499.1,1500.0,0.5,8
Mohammad Ghareeb,1516.7,1511.9,1500.0,0.8,5
Demetris Azoides,1516.6,1500.0,1500.0,1.0,1
Jack Loutit,1516.4,1500.0,1500.0,1.0,1
Remy Bertola,1516.4,1500.0,1500.0,1.0,1
Matej Dodig,1516.2,1507.3,1500.0,0.667,3
Sylvestre Monnou,1516.0,1500.0,1500.0,1.0,1
Sunu Wahyu Trijati,1516.0,1500.0,1500.0,1.0,1
Sarp Agabigun,1516.0,1500.0,1500.0,1.0,1
Ari Fahresi,1516.0,1500.0,1500.0,1.0,1
Cristian Rodriguez,1516.0,1500.0,1500.0,1.0,1
Stylianos Christodoulou,1516.0,1492.1,1500.0,0.5,2
Skyler Butts,1516.0,1500.0,1500.0,1.0,1
Edris Fetisleam,1516.0,1500.0,1500.0,1.0,1
Benedict Badza,1516.0,1500.0,1500.0,1.0,1
Raphael Calzi,1516.0,1500.0,1500.0,1.0,1
Miguel Angel Este,1516.0,1487.6,1500.0,0.5,2
Conner Huertas Del Pino,1516.0,1500.0,1500.0,1.0,1
Martyn Pawelski,1516.0,1500.0,1500.0,1.0,1
Lofo Ramiaramanana,1516.0,1500.0,1500.0,1.0,1
Nicolas Xiviller,1516.0,1500.0,1500.0,1.0,1
Digvijaypratap Singh,1516.0,1500.0,1500.0,1.0,1
Marc Lopez,1516.0,1500.0,1500.0,1.0,1
Aljaz Radinski,1516.0,1500.0,1500.0,1.0,1
Thomas Oger,1516.0,1500.0,1500.0,1.0,1
Marat Deviatiarov,1516.0,1500.0,1500.0,1.0,1
Johannes Seeman,1516.0,1500.0,1500.0,1.0,1
Arklon Huertas Del Pino,1516.0,1500.0,1500.0,1.0,1
Rhett Purcell,1515.8,1500.0,1500.0,1.0,1
Matthew Barton,1515.7,1501.2,1502.2,0.5,8
Matwe Middelkoop,1515.7,1500.0,1500.0,1.0,2
Anthony Jackie Tang,1515.5,1500.0,1500.0,1.0,1
Matheus Pucinelli De Almeida,1515.3,1508.7,1500.0,0.75,4
Jean Jacques Rakotohasy,1515.3,1509.0,1500.0,1.0,2
Bogdan Borza,1515.2,1500.0,1500.0,1.0,1
Karan Rastogi,1515.1,1500.0,1500.0,1.0,1
Liova Ayite Ajavon,1515.1,1500.0,1500.0,1.0,1
Rodrigo Banzer,1515.1,1491.0,1500.0,0.5,2
Jirat Navasirisomboon,1514.9,1477.8,1500.0,0.571,7
Fritz Wolmarans,1514.5,1500.0,1500.0,0.667,3
Jared Donaldson,1514.2,1455.8,1479.6,0.35,111
Alex Llompart,1514.1,1500.0,1500.0,0.667,3
Christian Harrison,1514.1,1487.9,1499.4,0.385,13
Rui Machado,1513.7,1468.9,1500.0,0.4,5
Nerman Fatic,1513.6,1490.7,1500.0,0.429,7
Manuel Sanchez,1513.5,1492.6,1500.0,0.625,8
Cristian Garin,1513.4,1563.8,1511.3,0.5,239
Liam Broady,1513.3,1485.3,1460.1,0.45,55
Daniel Cukierman,1513.2,1501.7,1500.0,0.455,11
Yuttana Charoenphon,1513.1,1500.0,1500.0,0.667,3
Marton Fucsovics,1513.0,1556.3,1540.8,0.45,314
Ainius Sabaliauskas,1513.0,1500.0,1500.0,0.5,2
Youssef Hossam,1512.9,1500.0,1500.0,0.667,3
Lucas Miedler,1512.9,1497.0,1500.0,0.25,4
Yu Hsiou Hsu,1512.8,1500.0,1500.0,0.429,7
Khumoun Sultanov,1512.8,1497.5,1501.5,0.429,7
Juan Carlos Fuentes Vasquez,1512.7,1484.0,1500.0,0.5,2
Petr Nesterov,1512.7,1484.4,1500.0,0.5,2
Yshai Oliel,1512.5,1499.9,1500.0,0.417,12
Jurabek Karimov,1512.4,1509.8,1500.0,0.667,3
Jerome Kym,1512.4,1500.0,1500.0,0.667,3
Nicolas Mahut,1512.1,1501.9,1518.4,0.45,121
Yassine Dlimi,1511.9,1484.0,1500.0,0.5,4
Yanki Erel,1511.7,1476.1,1500.0,0.333,3
Coleman Wong,1511.3,1500.0,1486.7,0.467,15
Gijs Brouwer,1511.2,1501.5,1490.9,0.45,27
Andrea Vavassori,1511.1,1519.5,1484.1,0.45,21
Adrian Ungur,1511.1,1457.0,1500.0,0.412,17
Hady Habib,1510.7,1503.2,1500.0,0.562,16
Elias Ymer,1510.5,1449.5,1481.0,0.3,112
Aslan Karatsev,1510.4,1498.9,1471.4,0.35,164
Alexander Ritschard,1510.1,1475.1,1493.1,0.364,11
Rodrigo Arus,1510.0,1491.4,1500.0,0.333,3
Yong Kyu Lim,1509.7,1500.0,1501.5,0.667,3
Roberto Carballes Baena,1509.3,1569.3,1446.9,0.45,258
Jan Mertl,1509.2,1503.5,1500.0,0.667,3
Ioannis Xilas,1508.9,1500.0,1500.0,0.5,2
Ernests Gulbis,1508.7,1477.5,1493.3,0.35,118
Alexander Donski,1508.5,1500.0,1500.0,0.5,2
Filip Horansky,1508.3,1467.0,1495.5,0.182,11
Aqeel Khan,1508.0,1499.3,1507.7,0.6,21
Philip Henning,1508.0,1461.6,1500.0,0.429,7
Elliot Benchetrit,1507.5,1456.9,1500.0,0.182,11
Nicolas Alvarez Varona,1507.5,1486.6,1500.0,0.333,3
Chris Rodesch,1507.2,1499.1,1500.0,0.571,7
Daniel Brands,1507.1,1476.6,1478.3,0.353,17
Daniel Evans,1507.1,1430.1,1458.4,0.25,301
Soon Woo Kwon,1507.0,1486.3,1490.6,0.25,136
Pablo Llamas Ruiz,1506.7,1502.8,1500.0,0.5,8
Andrew Whittington,1506.6,1500.0,1483.3,0.4,5
Matthias Bachinger,1506.6,1493.6,1494.4,0.45,24
Jacopo Berrettini,1506.3,1500.0,1500.0,0.5,2
Christopher Eubanks,1506.3,1420.8,1554.3,0.35,103
August Holmgren,1506.0,1499.8,1500.0,0.556,9
Yasutaka Uchiyama,1505.8,1492.5,1487.4,0.25,39
Matthew Ebden,1505.1,1485.4,1495.4,0.45,102
Diego Duran,1505.1,1485.5,1500.0,0.333,3
Bernard Tomic,1505.1,1436.1,1509.5,0.35,193
Jose Hernandez,1505.1,1471.0,1500.0,0.308,13
David Souto,1505.1,1488.4,1500.0,0.5,4
Ti Chen,1505.1,1518.9,1500.0,0.75,4
Harry Bourchier,1505.0,1500.0,1500.0,0.5,2
Robin Haase,1504.9,1486.9,1493.5,0.45,231
Aziz Dougaz,1504.8,1495.3,1500.0,0.385,13
Jimmy Wang,1504.8,1500.0,1500.0,0.5,2
Lucas Pouille,1504.7,1467.5,1524.8,0.4,266
Justin Engel,1504.6,1500.0,1500.0,0.5,2
Johannes Ingildsen,1504.5,1500.0,1487.2,0.333,3
Matija Pecotic,1504.4,1500.0,1500.0,0.5,2
Jacob Fearnley,1503.8,1500.0,1494.1,0.4,5
Filip Krajinovic,1503.7,1481.0,1530.5,0.25,233
Nicolas Alvarez,1503.7,1469.6,1500.0,0.583,12
Tristan Lamasine,1503.7,1499.5,1497.1,0.333,9
Federico Agustin Gomez,1503.6,1487.1,1500.0,0.333,3
Mousa Alkotop,1503.5,1500.0,1500.0,0.5,2
Robert Strombachs,1503.5,1500.0,1500.0,0.571,7
Alex Bolt,1503.3,1500.0,1486.9,0.4,48
Rio Noguchi,1502.9,1500.0,1500.0,0.5,2
Tsung Hua Yang,1502.8,1500.0,1500.0,0.5,2
Jiri Vesely,1502.4,1462.9,1519.4,0.4,275
Jui Chen Hung,1502.1,1500.0,1500.0,0.571,7
Victor Hanescu,1502.1,1500.0,1500.0,0.5,2
Aisam Ul Haq Qureshi,1501.9,1500.6,1503.4,0.667,12
Colin Sinclair,1501.8,1500.0,1500.0,0.5,2
Mohd Assri Merzuki,1501.6,1500.0,1500.0,0.5,2
Christopher Diaz Figueroa,1501.6,1500.0,1500.0,0.5,8
Ricardo Rodriguez,1501.5,1500.3,1500.0,0.6,22
Hans Hach Verdugo,1501.4,1500.0,1500.0,0.5,2
Steve Darcis,1501.4,1474.4,1478.7,0.35,95
Gabi Adrian Boitan,1501.3,1495.0,1500.0,0.333,3
Hamid Reza Nadaf,1501.2,1484.7,1500.0,0.5,2
Wilfredo Gonzalez,1501.1,1500.0,1500.0,0.556,9
Peter Bothwell,1500.9,1500.0,1500.0,0.5,2
Duck Hee Lee,1500.9,1500.0,1500.0,0.333,3
Jonathan Mridha,1500.8,1500.0,1500.0,0.5,2
Zhizhen Zhang,1500.7,1585.9,1501.2,0.4,114
Patrik Rosenholm,1500.7,1500.0,1500.0,0.5,2
Valentin Vacherot,1500.5,1461.9,1500.0,0.3,10
Justin Barki,1500.4,1500.0,1500.0,0.5,2
Hong Kit Jack Wong,1500.4,1500.0,1500.0,0.5,8
Alan Fernando Rubio Fierros,1500.4,1492.0,1500.0,0.333,3
Luis David Martinez,1500.3,1496.1,1500.0,0.6,10
Pruchya Isarow,1500.3,1500.0,1500.0,0.5,8
Santiago Maresca,1500.2,1484.6,1500.0,0.333,3
Peter Bertran,1500.2,1500.0,1500.0,0.5,2
Hazem Naw,1500.2,1500.0,1500.0,0.5,2
Martin Antonio Vergara Del Puerto,1500.0,1479.1,1500.0,0.333,3
Francis Casey Alcantara,1500.0,1506.1,1500.0,0.667,3
Aissa Benchakroun,1500.0,1516.0,1500.0,1.0,1
Phuong Van Nguyen,1500.0,1483.4,1500.0,0.0,1
Treat Conrad Huey,1500.0,1515.3,1500.0,1.0,1
Pedro Sakamoto,1500.0,1486.9,1500.0,0.0,1
Dineshkanthan Thangarajah,1500.0,1484.0,1500.0,0.0,1
Mats Moraing,1500.0,1509.4,1493.0,0.333,3
Dawood Sayed Hashim,1500.0,1484.0,1500.0,0.0,1
Andrea Basso,1500.0,1490.6,1500.0,0.0,1
Micke Kontinen,1500.0,1469.4,1500.0,0.0,2
Benjamin Balleret,1500.0,1502.4,1500.0,0.444,9
Juan Pablo Ficovich,1500.0,1502.4,1500.0,0.333,3
Henrik Sillanpaa,1500.0,1472.1,1500.0,0.0,2
Hasan Ibrahim,1500.0,1484.6,1500.0,0.0,1
David Jorda Sanchis,1500.0,1500.8,1500.0,0.5,2
Matteo Gigante,1500.0,1491.2,1500.0,0.333,3
Alejandro Moro Canas,1500.0,1507.5,1483.3,0.333,3
Nikolas Sanchez Izquierdo,1500.0,1489.5,1500.0,0.0,1
Javier Barranco Cosano,1500.0,1483.0,1500.0,0.0,1
Sebastian Fanselow,1500.0,1484.8,1500.0,0.0,1
Henry Searle,1500.0,1500.0,1469.9,0.0,2
Giles Hussey,1500.0,1500.0,1497.6,0.5,2
Luka Mikrut,1500.0,1482.4,1500.0,0.0,1
Alastair Gray,1500.0,1500.0,1487.2,0.25,4
Paul Jubb,1500.0,1500.0,1495.4,0.333,9
Eric Jr. Olivarez,1500.0,1484.0,1500.0,0.0,1
Peter Torebko,1500.0,1480.6,1500.0,0.0,1
Faris Zakaryia,1500.0,1483.8,1500.0,0.0,1
Charles Broom,1500.0,1500.0,1469.5,0.0,2
Francisco Cabral,1500.0,1491.7,1500.0,0.0,1
Hernan Casanova,1500.0,1482.7,1500.0,0.0,1
Lleyton Cronje,1500.0,1484.1,1500.0,0.0,1
Mikhail Ledovskikh,1500.0,1483.2,1500.0,0.0,1
Bastian Trinker,1500.0,1489.0,1500.0,0.333,3
David Vega Hernandez,1500.0,1480.7,1500.0,0.0,1
Martin Fischer,1500.0,1483.3,1500.0,0.0,1
Matteo Donati,1500.0,1504.1,1500.0,0.5,2
Maxime Hamou,1500.0,1475.1,1500.0,0.0,3
Gianni Mina,1500.0,1497.4,1500.0,0.5,2
Germain Gigounon,1500.0,1487.9,1500.0,0.0,1
Diego Fernandez Flores,1500.0,1515.4,1500.0,1.0,1
Facundo Arguello,1500.0,1469.5,1500.0,0.111,9
Giovanni Lapentti,1500.0,1483.3,1500.0,0.25,4
Pedja Krstin,1500.0,1504.5,1500.0,0.6,5
Carlos Gimeno Valero,1500.0,1483.3,1500.0,0.0,1
Max Hans Rehberg,1500.0,1459.3,1500.0,0.0,4
Ignacio Carou,1500.0,1457.5,1500.0,0.0,4
Andre Ghem,1500.0,1477.2,1500.0,0.0,2
Luis Diego Chavez Villalpando,1500.0,1516.3,1500.0,1.0,1
Farrukh Dustov,1500.0,1475.4,1500.0,0.2,5
Minjong Park,1500.0,1500.0,1484.0,0.0,1
Yasitha De Silva,1500.0,1470.2,1500.0,0.0,3
Alejandro Mendoza,1500.0,1484.3,1500.0,0.0,1
Alex Fairbanks,1500.0,1484.7,1500.0,0.0,1
Alexander Zgirovsky,1500.0,1491.3,1500.0,0.0,1
Finn Reynolds,1500.0,1500.0,1484.2,0.0,1
Hans Podlipnik Castillo,1500.0,1537.9,1500.0,1.0,3
Duilio Beretta,1500.0,1511.0,1500.0,0.5,4
Duilio Vallebuona,1500.0,1484.7,1500.0,0.0,1
Thabo Ncube,1500.0,1484.0,1500.0,0.0,1
Erik Arutiunian,1500.0,1483.0,1500.0,0.0,1
Roey Tabet,1500.0,1484.0,1500.0,0.0,1
David Agung Susanto,1500.0,1500.2,1469.8,0.364,11
Thehan Sanjaya Wijemanne,1500.0,1483.4,1500.0,0.0,1
Andrea Pellegrino,1500.0,1489.0,1500.0,0.333,3
Oriol Roca Batalla,1500.0,1486.6,1500.0,0.333,3
Zdenek Kolar,1500.0,1506.7,1485.5,0.25,4
Filippo Baldi,1500.0,1464.7,1500.0,0.0,3
Raul Brancaccio,1500.0,1485.7,1500.0,0.0,1
Marko Topo,1500.0,1455.7,1500.0,0.0,5
Lukas Neumayer,1500.0,1523.4,1500.0,0.6,5
Alexander Erler,1500.0,1505.1,1500.0,0.5,2
Andres Molteni,1500.0,1483.4,1500.0,0.0,1
Andrea Collarini,1500.0,1478.0,1500.0,0.0,2
Francisco Llanes,1500.0,1488.4,1500.0,0.5,2
Muzammil Murtaza,1500.0,1470.3,1488.0,0.0,4
Adolfo Daniel Vallejo,1500.0,1494.7,1500.0,0.5,4
Iliyan Radulov,1500.0,1516.0,1500.0,1.0,1
Naser Al Obaidly,1500.0,1484.0,1500.0,0.0,1
Juan Carlos Saez,1500.0,1544.0,1500.0,1.0,3
Orlando Luz,1500.0,1514.9,1500.0,0.5,2
Alexander Merino,1500.0,1483.1,1500.0,0.0,1
Mykyta Mashtakov,1500.0,1488.7,1500.0,0.0,1
Luis Carlos Alvarez Valdes,1500.0,1516.0,1500.0,1.0,1
Eduardo Struvay,1500.0,1484.2,1500.0,0.0,1
Mili Poljicak,1500.0,1477.9,1500.0,0.0,2
Santiago Fa Rodriguez Taverna,1500.0,1487.0,1500.0,0.0,1
Franco Agamenone,1500.0,1534.7,1500.0,0.6,5
Viktor Galovic,1500.0,1494.3,1473.7,0.375,8
Giovani Samaha,1500.0,1483.4,1500.0,0.0,1
Riccardo Bellotti,1500.0,1478.9,1500.0,0.0,1
William Blumberg,1500.0,1500.0,1485.3,0.0,1
Daniel Dutra Da Silva,1500.0,1485.5,1500.0,0.0,1
Ivan Gakhov,1500.0,1485.5,1500.0,0.25,4
Uladzimir Ignatik,1500.0,1471.9,1500.0,0.0,2
Rohan Bopanna,1500.0,1500.0,1516.0,1.0,1
Hong Chung,1500.0,1500.0,1484.0,0.0,1
Nikola Cacic,1500.0,1500.5,1500.0,0.5,2
Yann Marti,1500.0,1483.4,1500.0,0.0,1
Johan Nikles,1500.0,1488.2,1500.0,0.25,4
Agustin Velotti,1500.0,1468.1,1500.0,0.0,2
Enrique Lopez Perez,1500.0,1486.6,1500.0,0.0,1
Julian Reister,1500.0,1485.6,1500.0,0.333,3
Maxime Teixeira,1500.0,1484.4,1500.0,0.0,1
Mateus Alves,1500.0,1495.0,1500.0,0.0,1
Oliver Marach,1500.0,1516.0,1500.0,1.0,1
Mauricio Echazu,1500.0,1489.5,1500.0,0.556,9
Daniel Rincon,1500.0,1468.2,1500.0,0.0,3
Younes Lalami Laaroussi,1500.0,1474.1,1500.0,0.0,2
Riccardo Bonadio,1500.0,1484.9,1500.0,0.333,3
Matteo Trevisan,1500.0,1481.0,1500.0,0.0,1
Miljan Zekic,1500.0,1492.6,1500.0,0.333,3
Tihomir Grozdanov,1500.0,1516.0,1500.0,1.0,1
Niels Desein,1500.0,1500.0,1481.8,0.0,1
Dimitar Kutrovsky,1500.0,1497.6,1500.0,0.5,2
Alvaro Lopez San Martin,1500.0,1486.2,1500.0,0.0,1
Daniel Azar,1500.0,1484.0,1500.0,0.0,1
Conor Gannon,1500.0,1477.8,1500.0,0.333,3
Jose  Flores,1500.0,1484.0,1500.0,0.0,1
Genaro Alberto Olivieri,1500.0,1524.7,1500.0,0.667,3
George Loffhagen,1500.0,1500.0,1469.1,0.0,2
Arthur Fery,1500.0,1500.0,1474.0,0.0,2
Alvaro Guillen Meza,1500.0,1497.3,1500.0,0.5,2
Mustapha El Natour,1500.0,1516.0,1500.0,1.0,1
Freddy Murray,1500.0,1516.0,1500.0,1.0,1
Marvin Moeller,1500.0,1483.4,1500.0,0.0,1
Thanapet Chanta,1500.0,1484.0,1500.0,0.0,1
Albano Olivetti,1500.0,1500.0,1483.4,0.0,1
Carl Soderlund,1500.0,1504.6,1500.0,0.5,2
Fred Simonsson,1500.0,1483.5,1500.0,0.0,1
Louis Wessels,1500.0,1500.2,1482.7,0.333,3
Alexander Ward,1500.0,1500.0,1462.8,0.0,3
Marcus Willis,1500.0,1500.0,1503.6,0.5,2
Boris Arias,1500.0,1516.0,1500.0,1.0,1
Jordi Samper Montana,1500.0,1476.7,1500.0,0.0,2
Roberto Ortega Olmedo,1500.0,1481.3,1500.0,0.0,1
Filippo Volandri,1500.0,1474.9,1500.0,0.0,2
Michael Linzer,1500.0,1468.2,1500.0,0.0,2
Lukas Pokorny,1500.0,1521.6,1500.0,1.0,1
Andres Andrade,1500.0,1512.7,1500.0,0.667,3
Joaquin  Aguilar Cardozo ,1500.0,1490.9,1500.0,0.5,4
Maximus Jones,1500.0,1484.0,1500.0,0.0,1
Sina Moghimi,1500.0,1500.3,1500.0,0.5,2
